日期,品种,标的,多空,数量,可用数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价（期货）,保证金,当日盈亏,今手数,盈亏占比,仓位占比
2019-01-02,股票,深康佳A(000016.XSHE),多,3000股,0股,3.26,9780,60,3.24,-,0,60,3000股,0.62%,97534,10.03%
2019-01-02,股票,华菱钢铁(000932.XSHE),多,1600股,0股,5.83,9328,-400,6.08,-,0,-400,1600股,-4.11%,97534,9.56%
2019-01-02,股票,新钢股份(600782.XSHG),多,1900股,0股,4.98,9462,-228,5.1,-,0,-228,1900股,-2.35%,97534,9.7%
2019-01-02,股票,韶钢松山(000717.XSHE),多,2100股,0股,4.47,9387,-231,4.58,-,0,-231,2100股,-2.4%,97534,9.62%
2019-01-02,股票,长园集团(600525.XSHG),多,2300股,0股,4.07,9361,-644,4.35,-,0,-644,2300股,-6.44%,97534,9.6%
2019-01-02,股票,南钢股份(600282.XSHG),多,2900股,0股,3.34,9686,-261,3.43,-,0,-261,2900股,-2.62%,97534,9.93%
2019-01-02,股票,光明地产(600708.XSHG),多,2800股,0股,3.45,9660,-140,3.5,-,0,-140,2800股,-1.43%,97534,9.9%
2019-01-02,股票,安阳钢铁(600569.XSHG),多,3200股,0股,3.02,9664,-64,3.04,-,0,-64,3200股,-0.66%,97534,9.91%
2019-01-02,股票,兰州民百(600738.XSHG),多,1700股,0股,5.44,9248,-221,5.57,-,0,-221,1700股,-2.33%,97534,9.48%
2019-01-02,股票,三钢闽光(002110.XSHE),多,700股,0股,12.43,8701,-287,12.84,-,0,-287,700股,-3.19%,97534,8.92%
2019-01-02,,Cash,,,,,3257,,,,,,,,0
2019-01-03,股票,深康佳A(000016.XSHE),多,3000股,3000股,3.22,9660,-60,3.24,-,0,-120,0股,-0.62%,97583,9.9%
2019-01-03,股票,华菱钢铁(000932.XSHE),多,1600股,1600股,6,9600,-128,6.08,-,0,272,0股,-1.32%,97583,9.84%
2019-01-03,股票,新钢股份(600782.XSHG),多,1900股,1900股,4.99,9481,-209,5.1,-,0,19,0股,-2.16%,97583,9.72%
2019-01-03,股票,韶钢松山(000717.XSHE),多,2100股,2100股,4.53,9513,-105,4.58,-,0,126,0股,-1.09%,97583,9.75%
2019-01-03,股票,长园集团(600525.XSHG),多,2300股,2300股,4.07,9361,-644,4.35,-,0,0,0股,-6.44%,97583,9.59%
2019-01-03,股票,南钢股份(600282.XSHG),多,2900股,2900股,3.36,9744,-203,3.43,-,0,58,0股,-2.04%,97583,9.99%
2019-01-03,股票,光明地产(600708.XSHG),多,2800股,2800股,3.42,9576,-224,3.5,-,0,-84,0股,-2.29%,97583,9.81%
2019-01-03,股票,安阳钢铁(600569.XSHG),多,3200股,3200股,3.05,9760,32,3.04,-,0,96,0股,0.33%,97583,10%
2019-01-03,股票,兰州民百(600738.XSHG),多,1700股,1700股,5.22,8874,-595,5.57,-,0,-374,0股,-6.28%,97583,9.09%
2019-01-03,股票,三钢闽光(002110.XSHE),多,700股,700股,12.51,8757,-231,12.84,-,0,56,0股,-2.57%,97583,8.97%
2019-01-03,,Cash,,,,,3257,,,,,,,,0
2019-01-04,股票,深康佳A(000016.XSHE),多,3000股,3000股,3.32,9960,240,3.24,-,0,300,0股,2.47%,100035,9.96%
2019-01-04,股票,华菱钢铁(000932.XSHE),多,1600股,1600股,6.12,9792,64,6.08,-,0,192,0股,0.66%,100035,9.79%
2019-01-04,股票,新钢股份(600782.XSHG),多,1900股,1900股,5.06,9614,-76,5.1,-,0,133,0股,-0.78%,100035,9.61%
2019-01-04,股票,韶钢松山(000717.XSHE),多,2100股,2100股,4.65,9765,147,4.58,-,0,252,0股,1.53%,100035,9.76%
2019-01-04,股票,长园集团(600525.XSHG),多,2300股,2300股,4.31,9913,-92,4.35,-,0,552,0股,-0.92%,100035,9.91%
2019-01-04,股票,南钢股份(600282.XSHG),多,2900股,2900股,3.42,9918,-29,3.43,-,0,174,0股,-0.29%,100035,9.91%
2019-01-04,股票,光明地产(600708.XSHG),多,2800股,2800股,3.51,9828,28,3.5,-,0,252,0股,0.29%,100035,9.82%
2019-01-04,股票,安阳钢铁(600569.XSHG),多,3200股,3200股,3.11,9952,224,3.04,-,0,192,0股,2.3%,100035,9.95%
2019-01-04,股票,兰州民百(600738.XSHG),多,1700股,1700股,5.38,9146,-323,5.57,-,0,272,0股,-3.41%,100035,9.14%
2019-01-04,股票,三钢闽光(002110.XSHE),多,700股,700股,12.7,8890,-98,12.84,-,0,133,0股,-1.09%,100035,8.89%
2019-01-04,,Cash,,,,,3257,,,,,,,,0
2019-01-07,股票,深康佳A(000016.XSHE),多,3000股,3000股,3.38,10140,420,3.24,-,0,180,0股,4.32%,101476,9.99%
2019-01-07,股票,华菱钢铁(000932.XSHE),多,1600股,1600股,6.14,9824,96,6.08,-,0,32,0股,0.99%,101476,9.68%
2019-01-07,股票,新钢股份(600782.XSHG),多,1900股,1900股,5.09,9671,-19,5.1,-,0,57,0股,-0.2%,101476,9.53%
2019-01-07,股票,韶钢松山(000717.XSHE),多,2100股,2100股,4.71,9891,273,4.58,-,0,126,0股,2.84%,101476,9.75%
2019-01-07,股票,长园集团(600525.XSHG),多,2300股,2300股,4.34,9982,-23,4.35,-,0,69,0股,-0.23%,101476,9.84%
2019-01-07,股票,南钢股份(600282.XSHG),多,2900股,2900股,3.5,10150,203,3.43,-,0,232,0股,2.04%,101476,10%
2019-01-07,股票,光明地产(600708.XSHG),多,2800股,2800股,3.58,10024,224,3.5,-,0,196,0股,2.29%,101476,9.88%
2019-01-07,股票,安阳钢铁(600569.XSHG),多,3200股,3200股,3.14,10048,320,3.04,-,0,96,0股,3.29%,101476,9.9%
2019-01-07,股票,兰州民百(600738.XSHG),多,1700股,1700股,5.56,9452,-17,5.57,-,0,306,0股,-0.18%,101476,9.31%
2019-01-07,股票,三钢闽光(002110.XSHE),多,700股,700股,12.91,9037,49,12.84,-,0,147,0股,0.55%,101476,8.91%
2019-01-07,,Cash,,,,,3257,,,,,,,,0
2019-01-08,股票,深康佳A(000016.XSHE),多,3000股,3000股,3.44,10320,600,3.24,-,0,180,0股,6.17%,101830,10.13%
2019-01-08,股票,华菱钢铁(000932.XSHE),多,1600股,1600股,6.05,9680,-48,6.08,-,0,-144,0股,-0.49%,101830,9.51%
2019-01-08,股票,新钢股份(600782.XSHG),多,1900股,1900股,5.01,9519,-171,5.1,-,0,-152,0股,-1.76%,101830,9.35%
2019-01-08,股票,韶钢松山(000717.XSHE),多,2100股,2100股,4.65,9765,147,4.58,-,0,-126,0股,1.53%,101830,9.59%
2019-01-08,股票,长园集团(600525.XSHG),多,2300股,2300股,4.62,10626,621,4.35,-,0,644,0股,6.21%,101830,10.44%
2019-01-08,股票,南钢股份(600282.XSHG),多,2900股,2900股,3.48,10092,145,3.43,-,0,-58,0股,1.46%,101830,9.91%
2019-01-08,股票,光明地产(600708.XSHG),多,2800股,2800股,3.6,10080,280,3.5,-,0,56,0股,2.86%,101830,9.9%
2019-01-08,股票,安阳钢铁(600569.XSHG),多,3200股,3200股,3.11,9952,224,3.04,-,0,-96,0股,2.3%,101830,9.77%
2019-01-08,股票,兰州民百(600738.XSHG),多,1700股,1700股,5.68,9656,187,5.57,-,0,204,0股,1.97%,101830,9.48%
2019-01-08,股票,三钢闽光(002110.XSHE),多,700股,700股,12.69,8883,-105,12.84,-,0,-154,0股,-1.17%,101830,8.72%
2019-01-08,,Cash,,,,,3257,,,,,,,,0
2019-01-09,股票,深康佳A(000016.XSHE),多,3000股,3000股,3.5,10500,780,3.24,-,0,180,0股,8.02%,103341,10.16%
2019-01-09,股票,华菱钢铁(000932.XSHE),多,1600股,1600股,6.16,9856,128,6.08,-,0,176,0股,1.32%,103341,9.54%
2019-01-09,股票,新钢股份(600782.XSHG),多,1900股,1900股,5.12,9728,38,5.1,-,0,209,0股,0.39%,103341,9.41%
2019-01-09,股票,韶钢松山(000717.XSHE),多,2100股,2100股,4.68,9828,210,4.58,-,0,63,0股,2.18%,103341,9.51%
2019-01-09,股票,长园集团(600525.XSHG),多,2300股,2300股,4.58,10534,529,4.35,-,0,-92,0股,5.29%,103341,10.19%
2019-01-09,股票,南钢股份(600282.XSHG),多,2900股,2900股,3.52,10208,261,3.43,-,0,116,0股,2.62%,103341,9.88%
2019-01-09,股票,光明地产(600708.XSHG),多,2800股,2800股,3.63,10164,364,3.5,-,0,84,0股,3.71%,103341,9.84%
2019-01-09,股票,安阳钢铁(600569.XSHG),多,3200股,3200股,3.11,9952,224,3.04,-,0,0,0股,2.3%,103341,9.63%
2019-01-09,股票,兰州民百(600738.XSHG),多,1700股,1700股,5.93,10081,612,5.57,-,0,425,0股,6.46%,103341,9.76%
2019-01-09,股票,三钢闽光(002110.XSHE),多,700股,700股,13.19,9233,245,12.84,-,0,350,0股,2.73%,103341,8.93%
2019-01-09,,Cash,,,,,3257,,,,,,,,0
2019-01-10,股票,深康佳A(000016.XSHE),多,3000股,3000股,3.47,10410,690,3.24,-,0,-90,0股,7.1%,104048,10%
2019-01-10,股票,华菱钢铁(000932.XSHE),多,1600股,1600股,6.1,9760,32,6.08,-,0,-96,0股,0.33%,104048,9.38%
2019-01-10,股票,新钢股份(600782.XSHG),多,1900股,1900股,5.05,9595,-95,5.1,-,0,-133,0股,-0.98%,104048,9.22%
2019-01-10,股票,韶钢松山(000717.XSHE),多,2100股,2100股,4.62,9702,84,4.58,-,0,-126,0股,0.87%,104048,9.32%
2019-01-10,股票,长园集团(600525.XSHG),多,2300股,2300股,4.64,10672,667,4.35,-,0,138,0股,6.67%,104048,10.26%
2019-01-10,股票,南钢股份(600282.XSHG),多,2900股,2900股,3.54,10266,319,3.43,-,0,58,0股,3.21%,104048,9.87%
2019-01-10,股票,光明地产(600708.XSHG),多,2800股,2800股,3.62,10136,336,3.5,-,0,-28,0股,3.43%,104048,9.74%
2019-01-10,股票,安阳钢铁(600569.XSHG),多,3200股,3200股,3.1,9920,192,3.04,-,0,-32,0股,1.97%,104048,9.53%
2019-01-10,股票,兰州民百(600738.XSHG),多,1700股,1700股,6.47,10999,1530,5.57,-,0,918,0股,16.16%,104048,10.57%
2019-01-10,股票,三钢闽光(002110.XSHE),多,700股,700股,13.33,9331,343,12.84,-,0,98,0股,3.82%,104048,8.97%
2019-01-10,,Cash,,,,,3257,,,,,,,,0
2019-01-11,股票,深康佳A(000016.XSHE),多,3000股,3000股,3.49,10470,750,3.24,-,0,60,0股,7.72%,104103,10.06%
2019-01-11,股票,华菱钢铁(000932.XSHE),多,1600股,1600股,6.16,9856,128,6.08,-,0,96,0股,1.32%,104103,9.47%
2019-01-11,股票,新钢股份(600782.XSHG),多,1900股,1900股,5.06,9614,-76,5.1,-,0,19,0股,-0.78%,104103,9.24%
2019-01-11,股票,韶钢松山(000717.XSHE),多,2100股,2100股,4.66,9786,168,4.58,-,0,84,0股,1.75%,104103,9.4%
2019-01-11,股票,长园集团(600525.XSHG),多,2300股,2300股,4.61,10603,598,4.35,-,0,-69,0股,5.98%,104103,10.19%
2019-01-11,股票,南钢股份(600282.XSHG),多,2900股,2900股,3.57,10353,406,3.43,-,0,87,0股,4.08%,104103,9.94%
2019-01-11,股票,光明地产(600708.XSHG),多,2800股,2800股,3.66,10248,448,3.5,-,0,112,0股,4.57%,104103,9.84%
2019-01-11,股票,安阳钢铁(600569.XSHG),多,3200股,3200股,3.14,10048,320,3.04,-,0,128,0股,3.29%,104103,9.65%
2019-01-11,股票,兰州民百(600738.XSHG),多,1700股,1700股,6.19,10523,1054,5.57,-,0,-476,0股,11.13%,104103,10.11%
2019-01-11,股票,三钢闽光(002110.XSHE),多,700股,700股,13.35,9345,357,12.84,-,0,14,0股,3.97%,104103,8.98%
2019-01-11,,Cash,,,,,3257,,,,,,,,0
2019-01-14,股票,深康佳A(000016.XSHE),多,3000股,3000股,3.43,10290,570,3.24,-,0,-180,0股,5.86%,105128,9.79%
2019-01-14,股票,华菱钢铁(000932.XSHE),多,1600股,1600股,6.25,10000,272,6.08,-,0,144,0股,2.8%,105128,9.51%
2019-01-14,股票,新钢股份(600782.XSHG),多,1900股,1900股,5.17,9823,133,5.1,-,0,209,0股,1.37%,105128,9.34%
2019-01-14,股票,韶钢松山(000717.XSHE),多,2100股,2100股,4.8,10080,462,4.58,-,0,294,0股,4.8%,105128,9.59%
2019-01-14,股票,长园集团(600525.XSHG),多,2300股,2300股,4.51,10373,368,4.35,-,0,-230,0股,3.68%,105128,9.87%
2019-01-14,股票,南钢股份(600282.XSHG),多,2900股,2900股,3.63,10527,580,3.43,-,0,174,0股,5.83%,105128,10.01%
2019-01-14,股票,光明地产(600708.XSHG),多,2800股,2800股,3.67,10276,476,3.5,-,0,28,0股,4.86%,105128,9.77%
2019-01-14,股票,安阳钢铁(600569.XSHG),多,3200股,3200股,3.2,10240,512,3.04,-,0,192,0股,5.26%,105128,9.74%
2019-01-14,股票,兰州民百(600738.XSHG),多,1700股,1700股,6.29,10693,1224,5.57,-,0,170,0股,12.93%,105128,10.17%
2019-01-14,股票,三钢闽光(002110.XSHE),多,700股,700股,13.67,9569,581,12.84,-,0,224,0股,6.46%,105128,9.1%
2019-01-14,,Cash,,,,,3257,,,,,,,,0
2019-01-15,股票,深康佳A(000016.XSHE),多,3000股,3000股,3.47,10410,690,3.24,-,0,120,0股,7.1%,105205,9.89%
2019-01-15,股票,华菱钢铁(000932.XSHE),多,1600股,1600股,6.24,9984,256,6.08,-,0,-16,0股,2.63%,105205,9.49%
2019-01-15,股票,新钢股份(600782.XSHG),多,1900股,1900股,5.16,9804,114,5.1,-,0,-19,0股,1.18%,105205,9.32%
2019-01-15,股票,韶钢松山(000717.XSHE),多,2100股,2100股,4.81,10101,483,4.58,-,0,21,0股,5.02%,105205,9.6%
2019-01-15,股票,长园集团(600525.XSHG),多,2300股,2300股,4.55,10465,460,4.35,-,0,92,0股,4.6%,105205,9.95%
2019-01-15,股票,南钢股份(600282.XSHG),多,2900股,2900股,3.62,10498,551,3.43,-,0,-29,0股,5.54%,105205,9.98%
2019-01-15,股票,光明地产(600708.XSHG),多,2800股,2800股,3.68,10304,504,3.5,-,0,28,0股,5.14%,105205,9.79%
2019-01-15,股票,安阳钢铁(600569.XSHG),多,3200股,3200股,3.18,10176,448,3.04,-,0,-64,0股,4.61%,105205,9.67%
2019-01-15,股票,兰州民百(600738.XSHG),多,1700股,1700股,6.22,10574,1105,5.57,-,0,-119,0股,11.67%,105205,10.05%
2019-01-15,股票,三钢闽光(002110.XSHE),多,700股,700股,13.76,9632,644,12.84,-,0,63,0股,7.17%,105205,9.16%
2019-01-15,,Cash,,,,,3257,,,,,,,,0
2019-01-16,股票,深康佳A(000016.XSHE),多,3000股,3000股,3.46,10380,660,3.24,-,0,-30,0股,6.79%,105524,9.84%
2019-01-16,股票,华菱钢铁(000932.XSHE),多,1600股,1600股,6.19,9904,176,6.08,-,0,-80,0股,1.81%,105524,9.39%
2019-01-16,股票,新钢股份(600782.XSHG),多,1900股,1900股,5.13,9747,57,5.1,-,0,-57,0股,0.59%,105524,9.24%
2019-01-16,股票,韶钢松山(000717.XSHE),多,2100股,2100股,4.79,10059,441,4.58,-,0,-42,0股,4.59%,105524,9.53%
2019-01-16,股票,长园集团(600525.XSHG),多,2300股,2300股,4.8,11040,1035,4.35,-,0,575,0股,10.34%,105524,10.46%
2019-01-16,股票,南钢股份(600282.XSHG),多,2900股,2900股,3.59,10411,464,3.43,-,0,-87,0股,4.66%,105524,9.87%
2019-01-16,股票,光明地产(600708.XSHG),多,2800股,2800股,3.67,10276,476,3.5,-,0,-28,0股,4.86%,105524,9.74%
2019-01-16,股票,安阳钢铁(600569.XSHG),多,3200股,3200股,3.16,10112,384,3.04,-,0,-64,0股,3.95%,105524,9.58%
2019-01-16,股票,兰州民百(600738.XSHG),多,1700股,1700股,6.31,10727,1258,5.57,-,0,153,0股,13.29%,105524,10.17%
2019-01-16,股票,三钢闽光(002110.XSHE),多,700股,700股,13.73,9611,623,12.84,-,0,-21,0股,6.93%,105524,9.11%
2019-01-16,,Cash,,,,,3257,,,,,,,,0
2019-01-17,股票,深康佳A(000016.XSHE),多,3000股,3000股,3.47,10410,690,3.24,-,0,30,0股,7.1%,106465,9.78%
2019-01-17,股票,华菱钢铁(000932.XSHE),多,1600股,1600股,6.32,10112,384,6.08,-,0,208,0股,3.95%,106465,9.5%
2019-01-17,股票,新钢股份(600782.XSHG),多,1900股,1900股,5.18,9842,152,5.1,-,0,95,0股,1.57%,106465,9.24%
2019-01-17,股票,韶钢松山(000717.XSHE),多,2100股,2100股,4.84,10164,546,4.58,-,0,105,0股,5.68%,106465,9.55%
2019-01-17,股票,长园集团(600525.XSHG),多,2300股,2300股,4.81,11063,1058,4.35,-,0,23,0股,10.57%,106465,10.39%
2019-01-17,股票,南钢股份(600282.XSHG),多,2900股,2900股,3.59,10411,464,3.43,-,0,0,0股,4.66%,106465,9.78%
2019-01-17,股票,光明地产(600708.XSHG),多,2800股,2800股,3.67,10276,476,3.5,-,0,0,0股,4.86%,106465,9.65%
2019-01-17,股票,安阳钢铁(600569.XSHG),多,3200股,3200股,3.19,10208,480,3.04,-,0,96,0股,4.93%,106465,9.59%
2019-01-17,股票,兰州民百(600738.XSHG),多,1700股,1700股,6.47,10999,1530,5.57,-,0,272,0股,16.16%,106465,10.33%
2019-01-17,股票,三钢闽光(002110.XSHE),多,700股,700股,13.89,9723,735,12.84,-,0,112,0股,8.18%,106465,9.13%
2019-01-17,,Cash,,,,,3257,,,,,,,,0
2019-01-18,股票,深康佳A(000016.XSHE),多,3000股,3000股,3.52,10560,840,3.24,-,0,150,0股,8.64%,110122,9.59%
2019-01-18,股票,华菱钢铁(000932.XSHE),多,1600股,1600股,6.95,11120,1392,6.08,-,0,1008,0股,14.31%,110122,10.1%
2019-01-18,股票,新钢股份(600782.XSHG),多,1900股,1900股,5.39,10241,551,5.1,-,0,399,0股,5.69%,110122,9.3%
2019-01-18,股票,韶钢松山(000717.XSHE),多,2100股,2100股,5.14,10794,1176,4.58,-,0,630,0股,12.23%,110122,9.8%
2019-01-18,股票,长园集团(600525.XSHG),多,2300股,2300股,4.8,11040,1035,4.35,-,0,-23,0股,10.34%,110122,10.03%
2019-01-18,股票,南钢股份(600282.XSHG),多,2900股,2900股,3.7,10730,783,3.43,-,0,319,0股,7.87%,110122,9.74%
2019-01-18,股票,光明地产(600708.XSHG),多,2800股,2800股,3.71,10388,588,3.5,-,0,112,0股,6%,110122,9.43%
2019-01-18,股票,安阳钢铁(600569.XSHG),多,3200股,3200股,3.33,10656,928,3.04,-,0,448,0股,9.54%,110122,9.68%
2019-01-18,股票,兰州民百(600738.XSHG),多,1700股,1700股,6.58,11186,1717,5.57,-,0,187,0股,18.13%,110122,10.16%
2019-01-18,股票,三钢闽光(002110.XSHE),多,700股,700股,14.5,10150,1162,12.84,-,0,427,0股,12.93%,110122,9.22%
2019-01-18,,Cash,,,,,3257,,,,,,,,0
2019-01-21,股票,深康佳A(000016.XSHE),多,3000股,3000股,3.55,10650,930,3.24,-,0,90,0股,9.57%,110281,9.66%
2019-01-21,股票,华菱钢铁(000932.XSHE),多,1600股,1600股,7.13,11408,1680,6.08,-,0,288,0股,17.27%,110281,10.34%
2019-01-21,股票,新钢股份(600782.XSHG),多,1900股,1900股,5.37,10203,513,5.1,-,0,-38,0股,5.29%,110281,9.25%
2019-01-21,股票,韶钢松山(000717.XSHE),多,2100股,2100股,5.11,10731,1113,4.58,-,0,-63,0股,11.57%,110281,9.73%
2019-01-21,股票,长园集团(600525.XSHG),多,2300股,2300股,4.77,10971,966,4.35,-,0,-69,0股,9.66%,110281,9.95%
2019-01-21,股票,南钢股份(600282.XSHG),多,2900股,2900股,3.68,10672,725,3.43,-,0,-58,0股,7.29%,110281,9.68%
2019-01-21,股票,光明地产(600708.XSHG),多,2800股,2800股,3.69,10332,532,3.5,-,0,-56,0股,5.43%,110281,9.37%
2019-01-21,股票,安阳钢铁(600569.XSHG),多,3200股,3200股,3.29,10528,800,3.04,-,0,-128,0股,8.22%,110281,9.55%
2019-01-21,股票,兰州民百(600738.XSHG),多,1700股,1700股,6.64,11288,1819,5.57,-,0,102,0股,19.21%,110281,10.24%
2019-01-21,股票,三钢闽光(002110.XSHE),多,700股,700股,14.63,10241,1253,12.84,-,0,91,0股,13.94%,110281,9.29%
2019-01-21,,Cash,,,,,3257,,,,,,,,0
2019-01-22,股票,深康佳A(000016.XSHE),多,3000股,3000股,3.44,10320,600,3.24,-,0,-330,0股,6.17%,107940,9.56%
2019-01-22,股票,华菱钢铁(000932.XSHE),多,1600股,1600股,6.82,10912,1184,6.08,-,0,-496,0股,12.17%,107940,10.11%
2019-01-22,股票,新钢股份(600782.XSHG),多,1900股,1900股,5.26,9994,304,5.1,-,0,-209,0股,3.14%,107940,9.26%
2019-01-22,股票,韶钢松山(000717.XSHE),多,2100股,2100股,4.96,10416,798,4.58,-,0,-315,0股,8.3%,107940,9.65%
2019-01-22,股票,长园集团(600525.XSHG),多,2300股,2300股,4.63,10649,644,4.35,-,0,-322,0股,6.44%,107940,9.87%
2019-01-22,股票,南钢股份(600282.XSHG),多,2900股,2900股,3.58,10382,435,3.43,-,0,-290,0股,4.37%,107940,9.62%
2019-01-22,股票,光明地产(600708.XSHG),多,2800股,2800股,3.65,10220,420,3.5,-,0,-112,0股,4.29%,107940,9.47%
2019-01-22,股票,安阳钢铁(600569.XSHG),多,3200股,3200股,3.18,10176,448,3.04,-,0,-352,0股,4.61%,107940,9.43%
2019-01-22,股票,兰州民百(600738.XSHG),多,1700股,1700股,6.9,11730,2261,5.57,-,0,442,0股,23.88%,107940,10.87%
2019-01-22,股票,三钢闽光(002110.XSHE),多,700股,700股,14.12,9884,896,12.84,-,0,-357,0股,9.97%,107940,9.16%
2019-01-22,,Cash,,,,,3257,,,,,,,,0
2019-01-23,股票,深康佳A(000016.XSHE),多,3000股,3000股,3.44,10320,600,3.24,-,0,0,0股,6.17%,108714,9.49%
2019-01-23,股票,华菱钢铁(000932.XSHE),多,1600股,1600股,6.75,10800,1072,6.08,-,0,-112,0股,11.02%,108714,9.93%
2019-01-23,股票,新钢股份(600782.XSHG),多,1900股,1900股,5.25,9975,285,5.1,-,0,-19,0股,2.94%,108714,9.18%
2019-01-23,股票,韶钢松山(000717.XSHE),多,2100股,2100股,4.93,10353,735,4.58,-,0,-63,0股,7.64%,108714,9.52%
2019-01-23,股票,长园集团(600525.XSHG),多,2300股,2300股,4.65,10695,690,4.35,-,0,46,0股,6.9%,108714,9.84%
2019-01-23,股票,南钢股份(600282.XSHG),多,2900股,2900股,3.57,10353,406,3.43,-,0,-29,0股,4.08%,108714,9.52%
2019-01-23,股票,光明地产(600708.XSHG),多,2800股,2800股,3.65,10220,420,3.5,-,0,0,0股,4.29%,108714,9.4%
2019-01-23,股票,安阳钢铁(600569.XSHG),多,3200股,3200股,3.18,10176,448,3.04,-,0,0,0股,4.61%,108714,9.36%
2019-01-23,股票,兰州民百(600738.XSHG),多,1700股,1700股,7.48,12716,3247,5.57,-,0,986,0股,34.29%,108714,11.7%
2019-01-23,股票,三钢闽光(002110.XSHE),多,700股,700股,14.07,9849,861,12.84,-,0,-35,0股,9.58%,108714,9.06%
2019-01-23,,Cash,,,,,3257,,,,,,,,0
2019-01-24,股票,深康佳A(000016.XSHE),多,3000股,3000股,3.44,10320,600,3.24,-,0,0,0股,6.17%,107968,9.56%
2019-01-24,股票,华菱钢铁(000932.XSHE),多,1600股,1600股,6.79,10864,1136,6.08,-,0,64,0股,11.68%,107968,10.06%
2019-01-24,股票,新钢股份(600782.XSHG),多,1900股,1900股,5.23,9937,247,5.1,-,0,-38,0股,2.55%,107968,9.2%
2019-01-24,股票,韶钢松山(000717.XSHE),多,2100股,2100股,4.9,10290,672,4.58,-,0,-63,0股,6.99%,107968,9.53%
2019-01-24,股票,长园集团(600525.XSHG),多,2300股,2300股,4.63,10649,644,4.35,-,0,-46,0股,6.44%,107968,9.86%
2019-01-24,股票,南钢股份(600282.XSHG),多,2900股,2900股,3.55,10295,348,3.43,-,0,-58,0股,3.5%,107968,9.54%
2019-01-24,股票,光明地产(600708.XSHG),多,2800股,2800股,3.68,10304,504,3.5,-,0,84,0股,5.14%,107968,9.54%
2019-01-24,股票,安阳钢铁(600569.XSHG),多,3200股,3200股,3.18,10176,448,3.04,-,0,0,0股,4.61%,107968,9.43%
2019-01-24,股票,兰州民百(600738.XSHG),多,1700股,1700股,7.12,12104,2635,5.57,-,0,-612,0股,27.83%,107968,11.21%
2019-01-24,股票,三钢闽光(002110.XSHE),多,700股,700股,13.96,9772,784,12.84,-,0,-77,0股,8.72%,107968,9.05%
2019-01-24,,Cash,,,,,3257,,,,,,,,0
2019-01-25,股票,深康佳A(000016.XSHE),多,3000股,3000股,3.41,10230,510,3.24,-,0,-90,0股,5.25%,107935,9.48%
2019-01-25,股票,华菱钢铁(000932.XSHE),多,1600股,1600股,6.91,11056,1328,6.08,-,0,192,0股,13.65%,107935,10.24%
2019-01-25,股票,新钢股份(600782.XSHG),多,1900股,1900股,5.27,10013,323,5.1,-,0,76,0股,3.33%,107935,9.28%
2019-01-25,股票,韶钢松山(000717.XSHE),多,2100股,2100股,4.94,10374,756,4.58,-,0,84,0股,7.86%,107935,9.61%
2019-01-25,股票,长园集团(600525.XSHG),多,2300股,2300股,4.45,10235,230,4.35,-,0,-414,0股,2.3%,107935,9.48%
2019-01-25,股票,南钢股份(600282.XSHG),多,2900股,2900股,3.56,10324,377,3.43,-,0,29,0股,3.79%,107935,9.57%
2019-01-25,股票,光明地产(600708.XSHG),多,2800股,2800股,3.69,10332,532,3.5,-,0,28,0股,5.43%,107935,9.57%
2019-01-25,股票,安阳钢铁(600569.XSHG),多,3200股,3200股,3.16,10112,384,3.04,-,0,-64,0股,3.95%,107935,9.37%
2019-01-25,股票,兰州民百(600738.XSHG),多,1700股,1700股,7.12,12104,2635,5.57,-,0,0,0股,27.83%,107935,11.21%
2019-01-25,股票,三钢闽光(002110.XSHE),多,700股,700股,14.14,9898,910,12.84,-,0,126,0股,10.12%,107935,9.17%
2019-01-25,,Cash,,,,,3257,,,,,,,,0
2019-01-28,股票,深康佳A(000016.XSHE),多,3000股,3000股,3.37,10110,390,3.24,-,0,-120,0股,4.01%,106995,9.45%
2019-01-28,股票,华菱钢铁(000932.XSHE),多,1600股,1600股,6.72,10752,1024,6.08,-,0,-304,0股,10.53%,106995,10.05%
2019-01-28,股票,新钢股份(600782.XSHG),多,1900股,1900股,5.24,9956,266,5.1,-,0,-57,0股,2.75%,106995,9.31%
2019-01-28,股票,韶钢松山(000717.XSHE),多,2100股,2100股,4.91,10311,693,4.58,-,0,-63,0股,7.21%,106995,9.64%
2019-01-28,股票,长园集团(600525.XSHG),多,2300股,2300股,4.35,10005,0,4.35,-,0,-230,0股,0%,106995,9.35%
2019-01-28,股票,南钢股份(600282.XSHG),多,2900股,2900股,3.56,10324,377,3.43,-,0,0,0股,3.79%,106995,9.65%
2019-01-28,股票,光明地产(600708.XSHG),多,2800股,2800股,3.67,10276,476,3.5,-,0,-56,0股,4.86%,106995,9.6%
2019-01-28,股票,安阳钢铁(600569.XSHG),多,3200股,3200股,3.15,10080,352,3.04,-,0,-32,0股,3.62%,106995,9.42%
2019-01-28,股票,兰州民百(600738.XSHG),多,1700股,1700股,7.14,12138,2669,5.57,-,0,34,0股,28.19%,106995,11.34%
2019-01-28,股票,三钢闽光(002110.XSHE),多,700股,700股,13.98,9786,798,12.84,-,0,-112,0股,8.88%,106995,9.15%
2019-01-28,,Cash,,,,,3257,,,,,,,,0
